date,category,description,amount,merchanttype,location,timeofday,paymentmethod,month,day_of_week
2025-07-01,Entertainment,Streaming subscription,742.12,Online,Mumbai,Morning,UPI,7,Tuesday
2025-07-01,Bills,Mobile recharge,1677.72,Subscription,Delhi,Night,UPI,7,Tuesday
2025-07-01,Travel,Flight ticket,6272.5,Offline,Bangalore,Night,UPI,7,Tuesday
2025-07-01,Shopping,Electronics,1814.0,Subscription,Mumbai,Afternoon,UPI,7,Tuesday
2025-07-01,Bills,Mobile recharge,1141.04,Subscription,Delhi,Night,NetBanking,7,Tuesday
2025-07-01,Grocery,Vegetables,658.07,Online,Delhi,Evening,UPI,7,Tuesday
2025-07-01,Shopping,Home decor,1739.38,Offline,Pune,Morning,UPI,7,Tuesday
2025-07-02,Travel,Train ticket,4217.8,Subscription,Mumbai,Morning,NetBanking,7,Wednesday
2025-07-02,Healthcare,Pharmacy,3501.89,Offline,Mumbai,Afternoon,UPI,7,Wednesday
2025-07-02,Healthcare,Pharmacy,3562.35,Services,Bangalore,Morning,UPI,7,Wednesday
2025-07-02,Grocery,Supermarket run,598.95,Offline,Bangalore,Afternoon,UPI,7,Wednesday
2025-07-02,Travel,Hotel booking,6790.49,Online,Bangalore,Night,UPI,7,Wednesday
2025-07-02,Food,Cafe coffee,343.4,Offline,Ahmedabad,Night,UPI,7,Wednesday
2025-07-02,Entertainment,Streaming subscription,819.32,Services,Pune,Night,UPI,7,Wednesday
2025-07-02,Entertainment,Concert,886.66,Offline,Mumbai,Afternoon,Card,7,Wednesday
2025-07-02,Grocery,Vegetables,751.72,Services,Ahmedabad,Night,Card,7,Wednesday
2025-07-02,Entertainment,Concert,796.79,Offline,Ahmedabad,Evening,UPI,7,Wednesday
2025-07-02,Entertainment,Concert,948.13,Online,Pune,Morning,UPI,7,Wednesday
2025-07-02,Shopping,Electronics,1576.04,Offline,Ahmedabad,Evening,UPI,7,Wednesday
2025-07-02,Healthcare,Doctor visit,2552.5,Offline,Bangalore,Morning,UPI,7,Wednesday
2025-07-02,Shopping,Electronics,1005.13,Offline,Pune,Morning,UPI,7,Wednesday
2025-07-03,Bills,Water bill,1064.78,Subscription,Ahmedabad,Night,UPI,7,Thursday
2025-07-03,Food,Street food,348.36,Services,Pune,Evening,UPI,7,Thursday
2025-07-03,Shopping,Accessories,2011.86,Services,Bangalore,Morning,UPI,7,Thursday
2025-07-03,Healthcare,Pharmacy,2749.1,Services,Delhi,Afternoon,UPI,7,Thursday
2025-07-03,Healthcare,Dental checkup,1477.66,Subscription,Ahmedabad,Morning,UPI,7,Thursday
2025-07-03,Healthcare,Dental checkup,3131.4,Subscription,Mumbai,Afternoon,UPI,7,Thursday
2025-07-03,Shopping,Home decor,1615.0,Subscription,Ahmedabad,Night,UPI,7,Thursday
2025-07-03,Entertainment,Concert,492.7,Subscription,Delhi,Morning,UPI,7,Thursday
2025-07-03,Bills,Electricity bill,1982.75,Offline,Mumbai,Evening,NetBanking,7,Thursday
2025-07-03,Bills,Water bill,877.63,Online,Bangalore,Night,UPI,7,Thursday
2025-07-03,Healthcare,Doctor visit,3140.24,Services,Mumbai,Night,UPI,7,Thursday
2025-07-03,Bills,Internet bill,1108.52,Online,Ahmedabad,Morning,UPI,7,Thursday
2025-07-03,Food,Restaurant lunch,457.07,Online,Pune,Night,Cash,7,Thursday
2025-07-03,Grocery,Daily essentials,436.23,Online,Ahmedabad,Morning,Card,7,Thursday
2025-07-03,Entertainment,Concert,700.56,Subscription,Ahmedabad,Morning,UPI,7,Thursday
2025-07-04,Healthcare,Doctor visit,1686.81,Subscription,Pune,Morning,UPI,7,Friday
2025-07-04,Grocery,Daily essentials,843.96,Online,Mumbai,Night,Card,7,Friday
2025-07-04,Grocery,Vegetables,551.77,Offline,Mumbai,Morning,Card,7,Friday
2025-07-04,Healthcare,Dental checkup,2532.78,Subscription,Delhi,Afternoon,NetBanking,7,Friday
2025-07-04,Healthcare,Lab test,2948.22,Online,Mumbai,Morning,Card,7,Friday
2025-07-04,Shopping,Accessories,2471.35,Services,Delhi,Evening,UPI,7,Friday
2025-07-04,Bills,Internet bill,1307.7,Subscription,Bangalore,Night,UPI,7,Friday
2025-07-04,Bills,Electricity bill,1473.7,Online,Bangalore,Morning,UPI,7,Friday
2025-07-04,Travel,Flight ticket,4439.17,Offline,Pune,Afternoon,Cash,7,Friday
2025-07-04,Travel,Flight ticket,5410.39,Services,Delhi,Morning,NetBanking,7,Friday
2025-07-05,Bills,Internet bill,1058.75,Services,Pune,Morning,UPI,7,Saturday
2025-07-05,Entertainment,Streaming subscription,1103.2,Online,Mumbai,Afternoon,UPI,7,Saturday
2025-07-05,Entertainment,Concert,1211.21,Services,Delhi,Night,UPI,7,Saturday
2025-07-05,Bills,Electricity bill,1436.47,Offline,Pune,Night,Card,7,Saturday
2025-07-05,Healthcare,Lab test,1671.61,Offline,Bangalore,Morning,Card,7,Saturday
2025-07-05,Food,Restaurant lunch,465.28,Online,Delhi,Afternoon,NetBanking,7,Saturday
2025-07-05,Travel,Hotel booking,5417.8,Online,Delhi,Evening,UPI,7,Saturday
2025-07-05,Shopping,Home decor,1466.82,Offline,Delhi,Morning,Cash,7,Saturday
2025-07-06,Food,Street food,426.94,Online,Delhi,Morning,NetBanking,7,Sunday
2025-07-06,Bills,Mobile recharge,1000.26,Services,Pune,Night,UPI,7,Sunday
2025-07-06,Grocery,Vegetables,648.6,Offline,Pune,Evening,UPI,7,Sunday
2025-07-06,Shopping,Accessories,1469.02,Subscription,Bangalore,Night,NetBanking,7,Sunday
2025-07-06,Travel,Hotel booking,3750.13,Offline,Pune,Afternoon,NetBanking,7,Sunday
2025-07-06,Grocery,Supermarket run,802.48,Offline,Delhi,Night,Card,7,Sunday
2025-07-06,Entertainment,Streaming subscription,759.89,Subscription,Ahmedabad,Evening,UPI,7,Sunday
2025-07-06,Bills,Electricity bill,1820.16,Services,Bangalore,Afternoon,Card,7,Sunday
2025-07-06,Entertainment,Streaming subscription,1392.15,Services,Mumbai,Night,UPI,7,Sunday
2025-07-06,Grocery,Snacks,601.56,Subscription,Mumbai,Evening,NetBanking,7,Sunday
2025-07-06,Healthcare,Lab test,2608.84,Offline,Ahmedabad,Evening,UPI,7,Sunday
2025-07-06,Healthcare,Dental checkup,2880.17,Offline,Pune,Night,NetBanking,7,Sunday
2025-07-06,Bills,Internet bill,1413.78,Offline,Bangalore,Afternoon,UPI,7,Sunday
2025-07-06,Healthcare,Lab test,2018.63,Online,Mumbai,Morning,UPI,7,Sunday
2025-07-07,Bills,Internet bill,903.69,Services,Ahmedabad,Afternoon,Card,7,Monday
2025-07-07,Shopping,Accessories,2029.44,Services,Mumbai,Night,UPI,7,Monday
2025-07-07,Entertainment,Streaming subscription,893.32,Offline,Pune,Evening,NetBanking,7,Monday
2025-07-07,Travel,Hotel booking,6396.36,Services,Ahmedabad,Evening,UPI,7,Monday
2025-07-08,Food,Food delivery,371.51,Offline,Delhi,Morning,UPI,7,Tuesday
2025-07-08,Healthcare,Pharmacy,2889.97,Subscription,Mumbai,Night,UPI,7,Tuesday
2025-07-08,Grocery,Vegetables,883.07,Services,Delhi,Evening,UPI,7,Tuesday
2025-07-08,Food,Street food,356.53,Offline,Mumbai,Afternoon,Card,7,Tuesday
2025-07-08,Healthcare,Lab test,2098.77,Subscription,Pune,Morning,UPI,7,Tuesday
2025-07-08,Shopping,Home decor,1878.64,Services,Bangalore,Morning,NetBanking,7,Tuesday
2025-07-08,Bills,Internet bill,1453.55,Online,Delhi,Evening,Card,7,Tuesday
2025-07-08,Bills,Internet bill,850.45,Subscription,Ahmedabad,Morning,Card,7,Tuesday
2025-07-08,Food,Street food,278.12,Offline,Pune,Afternoon,UPI,7,Tuesday
2025-07-08,Grocery,Snacks,584.46,Services,Bangalore,Evening,UPI,7,Tuesday
2025-07-08,Healthcare,Doctor visit,2615.06,Services,Ahmedabad,Afternoon,UPI,7,Tuesday
2025-07-09,Entertainment,Streaming subscription,1020.31,Offline,Pune,Afternoon,UPI,7,Wednesday
2025-07-09,Healthcare,Pharmacy,2765.33,Online,Bangalore,Afternoon,UPI,7,Wednesday
2025-07-09,Healthcare,Lab test,2832.43,Online,Delhi,Evening,UPI,7,Wednesday
2025-07-09,Travel,Flight ticket,5916.03,Offline,Pune,Night,UPI,7,Wednesday
2025-07-09,Entertainment,Movie tickets,1032.15,Offline,Delhi,Afternoon,NetBanking,7,Wednesday
2025-07-09,Healthcare,Lab test,2579.18,Subscription,Delhi,Afternoon,NetBanking,7,Wednesday
2025-07-09,Grocery,Vegetables,593.48,Offline,Pune,Afternoon,UPI,7,Wednesday
2025-07-09,Bills,Water bill,1493.71,Offline,Mumbai,Afternoon,UPI,7,Wednesday
2025-07-09,Shopping,Electronics,1024.35,Subscription,Ahmedabad,Night,UPI,7,Wednesday
2025-07-09,Grocery,Supermarket run,552.9,Subscription,Mumbai,Afternoon,UPI,7,Wednesday
2025-07-09,Shopping,Home decor,2155.59,Services,Bangalore,Afternoon,UPI,7,Wednesday
2025-07-09,Healthcare,Pharmacy,2501.85,Services,Ahmedabad,Night,UPI,7,Wednesday
2025-07-09,Food,Cafe coffee,247.3,Online,Pune,Night,UPI,7,Wednesday
2025-07-10,Food,Street food,414.01,Offline,Pune,Evening,UPI,7,Thursday
2025-07-10,Grocery,Supermarket run,439.5,Online,Ahmedabad,Afternoon,NetBanking,7,Thursday
2025-07-10,Shopping,Electronics,2199.14,Offline,Bangalore,Evening,UPI,7,Thursday
2025-07-10,Shopping,Home decor,1506.95,Offline,Pune,Afternoon,Card,7,Thursday
2025-07-10,Entertainment,Concert,883.25,Services,Bangalore,Morning,UPI,7,Thursday
2025-07-10,Shopping,Home decor,2025.03,Online,Delhi,Morning,UPI,7,Thursday
2025-07-10,Entertainment,Gaming,853.75,Offline,Mumbai,Morning,NetBanking,7,Thursday
2025-07-10,Grocery,Daily essentials,649.97,Subscription,Ahmedabad,Night,NetBanking,7,Thursday
2025-07-10,Grocery,Supermarket run,752.56,Services,Bangalore,Afternoon,UPI,7,Thursday
2025-07-10,Shopping,Clothing,1762.72,Offline,Delhi,Morning,UPI,7,Thursday
2025-07-10,Grocery,Supermarket run,780.09,Services,Ahmedabad,Afternoon,UPI,7,Thursday
2025-07-10,Bills,Mobile recharge,1488.31,Offline,Pune,Morning,UPI,7,Thursday
2025-07-10,Grocery,Daily essentials,848.25,Online,Bangalore,Night,Card,7,Thursday
2025-07-10,Bills,Mobile recharge,1284.79,Services,Mumbai,Morning,UPI,7,Thursday
2025-07-10,Healthcare,Lab test,2550.33,Offline,Pune,Morning,UPI,7,Thursday
2025-07-11,Healthcare,Dental checkup,2945.16,Offline,Delhi,Morning,UPI,7,Friday
2025-07-11,Healthcare,Lab test,2462.57,Subscription,Pune,Night,Cash,7,Friday
2025-07-11,Bills,Water bill,1266.96,Subscription,Bangalore,Night,UPI,7,Friday
2025-07-11,Travel,Hotel booking,5966.53,Services,Delhi,Evening,UPI,7,Friday
2025-07-11,Food,Street food,278.33,Subscription,Bangalore,Morning,NetBanking,7,Friday
2025-07-11,Bills,Electricity bill,1644.81,Offline,Ahmedabad,Evening,NetBanking,7,Friday
2025-07-11,Bills,Internet bill,1177.1,Subscription,Mumbai,Afternoon,UPI,7,Friday
2025-07-11,Travel,Cab ride,6017.3,Online,Mumbai,Evening,UPI,7,Friday
2025-07-11,Travel,Train ticket,5471.74,Offline,Bangalore,Night,Cash,7,Friday
2025-07-11,Entertainment,Concert,1146.91,Services,Pune,Night,UPI,7,Friday
2025-07-12,Entertainment,Streaming subscription,1082.32,Offline,Bangalore,Evening,NetBanking,7,Saturday
2025-07-12,Healthcare,Doctor visit,1922.39,Online,Pune,Morning,UPI,7,Saturday
2025-07-12,Travel,Train ticket,3852.64,Online,Pune,Night,UPI,7,Saturday
2025-07-12,Entertainment,Movie tickets,889.15,Subscription,Bangalore,Afternoon,UPI,7,Saturday
2025-07-12,Travel,Hotel booking,3876.13,Services,Ahmedabad,Morning,UPI,7,Saturday
2025-07-12,Shopping,Home decor,2553.89,Services,Bangalore,Evening,UPI,7,Saturday
2025-07-12,Travel,Flight ticket,5836.28,Services,Delhi,Afternoon,UPI,7,Saturday
2025-07-12,Bills,Mobile recharge,1374.76,Online,Mumbai,Evening,UPI,7,Saturday
2025-07-12,Healthcare,Pharmacy,2882.55,Subscription,Bangalore,Night,UPI,7,Saturday
2025-07-12,Food,Food delivery,510.27,Online,Mumbai,Evening,UPI,7,Saturday
2025-07-13,Food,Food delivery,558.68,Offline,Mumbai,Afternoon,UPI,7,Sunday
2025-07-13,Food,Cafe coffee,398.48,Services,Ahmedabad,Afternoon,Card,7,Sunday
2025-07-13,Bills,Mobile recharge,1338.36,Online,Ahmedabad,Afternoon,Card,7,Sunday
2025-07-13,Healthcare,Doctor visit,3233.24,Offline,Delhi,Evening,Card,7,Sunday
2025-07-13,Travel,Cab ride,6462.07,Online,Mumbai,Evening,UPI,7,Sunday
2025-07-13,Travel,Flight ticket,4089.01,Online,Pune,Morning,UPI,7,Sunday
2025-07-14,Entertainment,Streaming subscription,1100.07,Services,Bangalore,Morning,UPI,7,Monday
2025-07-14,Bills,Internet bill,1592.72,Services,Mumbai,Night,Cash,7,Monday
2025-07-14,Healthcare,Pharmacy,2214.42,Online,Pune,Night,UPI,7,Monday
2025-07-14,Grocery,Supermarket run,752.92,Services,Pune,Night,UPI,7,Monday
2025-07-14,Grocery,Daily essentials,829.21,Services,Pune,Afternoon,UPI,7,Monday
2025-07-14,Shopping,Electronics,1592.15,Subscription,Bangalore,Night,UPI,7,Monday
2025-07-14,Travel,Train ticket,4569.96,Subscription,Bangalore,Afternoon,UPI,7,Monday
2025-07-14,Bills,Electricity bill,1071.93,Subscription,Bangalore,Morning,UPI,7,Monday
2025-07-14,Travel,Cab ride,3682.97,Online,Ahmedabad,Afternoon,UPI,7,Monday
2025-07-14,Travel,Train ticket,3168.76,Online,Pune,Evening,UPI,7,Monday
2025-07-14,Healthcare,Lab test,2602.27,Offline,Pune,Morning,UPI,7,Monday
2025-07-14,Bills,Electricity bill,826.18,Subscription,Pune,Night,UPI,7,Monday
2025-07-14,Grocery,Daily essentials,728.4,Offline,Bangalore,Afternoon,UPI,7,Monday
2025-07-14,Travel,Train ticket,6160.58,Online,Bangalore,Night,UPI,7,Monday
2025-07-14,Bills,Electricity bill,1200.82,Subscription,Bangalore,Morning,UPI,7,Monday
2025-07-15,Grocery,Daily essentials,709.88,Services,Pune,Evening,Cash,7,Tuesday
2025-07-15,Entertainment,Movie tickets,1034.44,Services,Delhi,Morning,UPI,7,Tuesday
2025-07-15,Shopping,Electronics,2424.16,Services,Delhi,Evening,UPI,7,Tuesday
